TTP/TTP,T1082,T1083,T1222.002,T1105,T1552.003,T1087.001,T1033,T1059.004,T1106,T1574,T1087,T1020
T1082,1.0,0.9462,0.9823,0.9494,0.9906,0.9495,0.9514,0.9954,0.9527,0.9445,0.9511,0.964
T1083,0.9462,1.0,0.9683,0.9474,0.9489,0.9741,0.9511,0.9955,0.9885,0.9508,0.9533,0.9526
T1222.002,0.9823,0.9683,1.0,0.9687,0.9754,0.9803,0.9801,0.9944,0.9926,0.9665,0.9811,0.9715
T1105,0.9494,0.9474,0.9687,1.0,0.9488,0.9749,0.9518,0.9957,0.9881,0.9487,0.9549,0.955
T1552.003,0.9906,0.9489,0.9754,0.9488,1.0,0.9902,0.9893,0.9851,0.9747,0.9536,0.9902,0.989
T1087.001,0.9495,0.9741,0.9803,0.9749,0.9902,1.0,0.9553,0.9946,0.9791,0.9531,0.9567,0.9764
T1033,0.9514,0.9511,0.9801,0.9518,0.9893,0.9553,1.0,0.9946,0.9765,0.9502,0.9543,0.9752
T1059.004,0.9954,0.9955,0.9944,0.9957,0.9851,0.9946,0.9946,1.0,0.9853,0.9959,0.9951,0.9944
T1106,0.9527,0.9885,0.9926,0.9881,0.9747,0.9791,0.9765,0.9853,1.0,0.9892,0.9547,0.9748
T1574,0.9445,0.9508,0.9665,0.9487,0.9536,0.9531,0.9502,0.9959,0.9892,1.0,0.9527,0.9483
T1087,0.9511,0.9533,0.9811,0.9549,0.9902,0.9567,0.9543,0.9951,0.9547,0.9527,1.0,0.9531
T1020,0.964,0.9526,0.9715,0.955,0.989,0.9764,0.9752,0.9944,0.9748,0.9483,0.9531,1.0
